starttime	seconds	ctime	dtime	ttime	wait
Wed Aug 28 12:36:36 2013	1377668196	0	137	137	113
Wed Aug 28 12:36:26 2013	1377668186	1	137	138	89
Wed Aug 28 12:36:30 2013	1377668190	0	137	138	99
Wed Aug 28 12:36:36 2013	1377668196	0	138	138	88
Wed Aug 28 12:36:20 2013	1377668180	0	138	138	88
Wed Aug 28 12:36:26 2013	1377668186	0	139	140	91
Wed Aug 28 12:36:47 2013	1377668207	0	140	140	115
Wed Aug 28 12:36:45 2013	1377668205	0	141	141	97
Wed Aug 28 12:36:30 2013	1377668190	0	141	141	92
Wed Aug 28 12:36:36 2013	1377668196	0	141	141	108
Wed Aug 28 12:36:44 2013	1377668204	0	141	141	98
Wed Aug 28 12:36:21 2013	1377668181	0	142	142	93
Wed Aug 28 12:36:19 2013	1377668179	0	142	142	92
Wed Aug 28 12:36:38 2013	1377668198	0	142	142	93
Wed Aug 28 12:36:23 2013	1377668183	0	142	142	93
Wed Aug 28 12:36:44 2013	1377668204	0	142	143	97
Wed Aug 28 12:36:53 2013	1377668213	0	143	143	116
Wed Aug 28 12:36:19 2013	1377668179	0	143	143	73
Wed Aug 28 12:36:47 2013	1377668207	0	143	143	95
Wed Aug 28 12:37:06 2013	1377668226	0	143	144	97
Wed Aug 28 12:36:32 2013	1377668192	0	144	144	74
Wed Aug 28 12:36:44 2013	1377668204	0	144	144	100
Wed Aug 28 12:36:35 2013	1377668195	0	144	144	102
Wed Aug 28 12:36:44 2013	1377668204	0	144	144	90
Wed Aug 28 12:37:00 2013	1377668220	0	144	144	119
Wed Aug 28 12:37:06 2013	1377668226	0	144	144	74
Wed Aug 28 12:37:02 2013	1377668222	0	144	144	97
Wed Aug 28 12:36:22 2013	1377668182	0	144	145	75
Wed Aug 28 12:36:36 2013	1377668196	0	145	145	113
Wed Aug 28 12:36:21 2013	1377668181	0	145	145	74
Wed Aug 28 12:36:25 2013	1377668185	0	145	146	78
Wed Aug 28 12:37:01 2013	1377668221	0	146	146	75
Wed Aug 28 12:36:25 2013	1377668185	0	146	146	97
Wed Aug 28 12:36:43 2013	1377668203	0	146	146	110
Wed Aug 28 12:37:05 2013	1377668225	0	146	146	99
Wed Aug 28 12:36:19 2013	1377668179	0	146	146	75
Wed Aug 28 12:37:05 2013	1377668225	0	146	146	100
Wed Aug 28 12:37:06 2013	1377668226	0	146	147	77
Wed Aug 28 12:36:41 2013	1377668201	0	147	147	83
Wed Aug 28 12:36:24 2013	1377668184	1	147	147	100
Wed Aug 28 12:36:20 2013	1377668180	0	147	148	74
Wed Aug 28 12:36:27 2013	1377668187	0	147	148	99
Wed Aug 28 12:36:58 2013	1377668218	0	148	148	78
Wed Aug 28 12:36:18 2013	1377668178	0	148	148	102
Wed Aug 28 12:36:35 2013	1377668195	0	148	149	100
Wed Aug 28 12:36:25 2013	1377668185	0	149	149	100
Wed Aug 28 12:36:37 2013	1377668197	0	149	149	102
Wed Aug 28 12:36:47 2013	1377668207	0	149	150	79
Wed Aug 28 12:36:23 2013	1377668183	0	149	150	78
Wed Aug 28 12:36:44 2013	1377668204	0	149	150	80
Wed Aug 28 12:36:46 2013	1377668206	0	149	150	125
Wed Aug 28 12:36:19 2013	1377668179	0	149	150	103
Wed Aug 28 12:36:27 2013	1377668187	0	150	150	77
Wed Aug 28 12:36:35 2013	1377668195	0	150	150	100
Wed Aug 28 12:36:58 2013	1377668218	0	150	150	126
Wed Aug 28 12:36:44 2013	1377668204	0	150	151	101
Wed Aug 28 12:36:19 2013	1377668179	0	151	151	76
Wed Aug 28 12:37:01 2013	1377668221	0	151	151	81
Wed Aug 28 12:36:48 2013	1377668208	0	151	151	98
Wed Aug 28 12:36:54 2013	1377668214	0	151	152	111
Wed Aug 28 12:36:27 2013	1377668187	0	151	152	77
